Monthly_Output_Tonnes,Yearly_Release_Count,CO2_Emissions,Water_Used_ML,Waste_To_Landfill_Tonnes,Avg_Worker_Wage_USD,Weekly_Work_Hours,Avg_fashion_item_Price
588.648594,17,11594.85374,191.2648844,930.9462321,86.021109,63,22.4593431
419.4107444,16,17049.04268,233.1673841,802.1470839,162.0320223,56,16.283957
523.3798265,7,7916.6798,212.1694773,918.3275794,42.02443512,52,18.57031041
202.9113621,29,14981.41434,177.0407081,903.096798,153.3655092,51,14.15806109
185.0409955,15,12495.97073,153.809215,767.2460248,125.30483,48,22.6319402
502.3009594,20,9995.465481,71.34554007,1062.410174,7.927279131,58,12.3391142
506.6407918,26,11111.50164,254.9341119,738.592988,158.6036025,57,22.20981935
444.502912,18,13464.04948,244.6665839,908.2906372,269.4392965,44,19.30594286
669.368417,19,10088.74102,157.0361325,744.5650829,111.6855822,52,24.9733659
560.4849955,26,11523.01582,138.23334,592.1553929,152.8148282,41,18.04469413
502.7248138,18,12298.39723,163.6929473,490.6246345,213.3844631,58,15.96031657
582.8162607,19,6497.313994,217.4570321,722.9692057,132.0595423,67,19.45416846
886.0317146,15,14621.43695,245.456179,659.6295895,71.29922376,64,19.02164192
436.2125989,10,8401.500782,159.6199814,458.186732,102.8694241,50,15.55698994
330.7808904,28,8511.507018,264.7981893,1060.88392,82.68196476,52,16.84424021
422.2414498,10,6648.257582,129.0920705,519.1770885,150.3398096,57,18.78246024
335.5486114,28,10441.09383,97.7195167,494.8434625,173.7672487,68,14.73622258
347.2493935,23,10383.46903,181.518575,456.151883,285.5123505,51,6.772349847
197.3081904,24,10924.375,196.8854635,1024.315855,166.1003325,53,16.55294022
499.8115963,28,14133.16577,84.67308076,844.961122,219.4196737,61,26.4953763
642.5902176,13,11685.972,272.5010289,723.6533188,172.9519891,49,15.64448555
564.1329951,26,5373.882516,209.249724,674.9823269,167.2450012,68,24.30109493
557.2835007,10,12320.41544,101.2612468,678.3378199,184.2068408,59,23.06533255
405.1781437,8,4971.330165,183.6945091,768.8734357,163.7381979,55,23.61007227
570.7440709,26,4970.128583,212.4288088,679.4702247,159.7299862,68,24.15845749
469.7354262,9,9691.741285,103.9380574,836.9834234,194.4172518,65,10.63125858
127.0847911,9,8851.332902,195.5967206,473.1803681,133.1887405,66,21.21879645
479.6479793,10,13874.32758,281.7759305,617.6404193,142.3255858,56,15.47829445
527.0915851,11,12328.36244,218.9064894,797.6823536,243.6041827,59,17.53008142
596.7220152,22,8669.693115,238.6391872,945.4514747,116.0352763,56,15.05627013
731.4923775,8,10585.29138,234.7468089,770.9196274,191.5203381,57,12.19637779
670.294286,24,7409.292887,198.311761,766.0010305,127.0460722,69,19.00061965
613.4763957,13,12231.20399,282.8514852,380.6874637,176.4419159,65,12.42080957
489.3043854,22,12165.92831,175.7887369,471.3677903,128.484718,54,23.06724046
268.226081,26,14235.57337,213.1283748,816.0315752,121.4832333,45,14.56520047
335.7877294,27,12142.82425,203.434139,786.549193,120.8792095,56,17.59968644
895.9731995,20,8402.710691,118.9944956,871.9516313,145.6727508,48,13.84109331
421.1913565,22,7101.539877,82.04155109,883.5444842,87.34730274,55,22.70708975
